id,expire_time,num_days,cost,reward,bonus_name,deposit_limit,rake_percent,bonus_code,deposit_multiplier,bonus_type,exclusive,bonus_tag,type,game_tags,cash_percentage,max_payout,reload_code,excluded_countries,deposit_amount,deposit_max_bet_percent,bonus_max_bet_percent,max_bet_amount,included_countries,fail_limit,game_percents,loyalty_percent,top_up,stagger_percent,ext_ids,progress_type,deposit_threshold,game_id,allow_race,allow_xp_calc,forfeit_bonus,deposit_active_bonus,frb_coins,frb_denomination,frb_lines,frb_cost,award_id,brand_id,keep_winnings,auto_activate_bonus_id,auto_activate_bonus_day,auto_activate_bonus_period,auto_activate_bonus_send_out_time
26392,2017-08-16,1,0,75,Quest for Bermuda Riches 75 Free Spins - Reward,0,0,,0,freespin,2,pragmatic,casino,"slots,videoslots,scratch-cards,other,roulette,blackjack,videopoker,videoslots_jackpotbsg,videoslots_jackpot,videoslots_jackpotsheriff,table",0,0,,AE AF AS AR BA BD BE BH BS CD CI CU CY DA DK EG ER ES FJ FR GI GU HK HT IL IN IQ IR JO KE KG KP KW KZ LB LK LR LT LY MM MP MZ NG PK PS PR QA RE RO RW SA SD SG SN SO SY TR TZ UA UM US VA VE VI VN YE ZW DZ AO CG VU PG UG PA BG GY PT LA,2000,0,0,0,,0,"1,1,1,0.1,0.1,0.1,0.1,1,1,1,rtp",1,0,0,pragmatic_vs20bermuda,bonus,0,pragmatic_vs20bermuda,1,0,1,0,1,10,0,1500,0,103,0,,,,
26393,2017-08-16,1,0,100,Quest for Bermuda Riches 100 Free Spins - Reward,0,0,,0,freespin,2,pragmatic,casino,"slots,videoslots,scratch-cards,other,roulette,blackjack,videopoker,videoslots_jackpotbsg,videoslots_jackpot,videoslots_jackpotsheriff,table",0,0,,AE AF AS AR BA BD BE BH BS CD CI CU CY DA DK EG ER ES FJ FR GI GU HK HT IL IN IQ IR JO KE KG KP KW KZ LB LK LR LT LY MM MP MZ NG PK PS PR QA RE RO RW SA SD SG SN SO SY TR TZ UA UM US VA VE VI VN YE ZW DZ AO CG VU PG UG PA BG GY PT LA,2000,0,0,0,,0,"1,1,1,0.1,0.1,0.1,0.1,1,1,1,rtp",1,0,0,pragmatic_vs20bermuda,bonus,0,pragmatic_vs20bermuda,1,0,1,0,1,10,0,2000,0,103,0,,,,
26394,2017-08-16,1,0,150,Quest for Bermuda Riches 150 Free Spins - Reward,0,0,,0,freespin,2,pragmatic,casino,"slots,videoslots,scratch-cards,other,roulette,blackjack,videopoker,videoslots_jackpotbsg,videoslots_jackpot,videoslots_jackpotsheriff,table",0,0,,AE AF AS AR BA BD BE BH BS CD CI CU CY DA DK EG ER ES FJ FR GI GU HK HT IL IN IQ IR JO KE KG KP KW KZ LB LK LR LT LY MM MP MZ NG PK PS PR QA RE RO RW SA SD SG SN SO SY TR TZ UA UM US VA VE VI VN YE ZW DZ AO CG VU PG UG PA BG GY PT LA,2000,0,0,0,,0,"1,1,1,0.1,0.1,0.1,0.1,1,1,1,rtp",1,0,0,pragmatic_vs20bermuda,bonus,0,pragmatic_vs20bermuda,1,0,1,0,1,10,0,3000,0,103,0,,,,
26395,2017-08-16,1,0,200,Quest for Bermuda Riches 200 Free Spins - Reward,0,0,,0,freespin,2,pragmatic,casino,"slots,videoslots,scratch-cards,other,roulette,blackjack,videopoker,videoslots_jackpotbsg,videoslots_jackpot,videoslots_jackpotsheriff,table",0,0,,AE AF AS AR BA BD BE BH BS CD CI CU CY DA DK EG ER ES FJ FR GI GU HK HT IL IN IQ IR JO KE KG KP KW KZ LB LK LR LT LY MM MP MZ NG PK PS PR QA RE RO RW SA SD SG SN SO SY TR TZ UA UM US VA VE VI VN YE ZW DZ AO CG VU PG UG PA BG GY PT LA,2000,0,0,0,,0,"1,1,1,0.1,0.1,0.1,0.1,1,1,1,rtp",1,0,0,pragmatic_vs20bermuda,bonus,0,pragmatic_vs20bermuda,1,0,1,0,1,10,0,4000,0,103,0,,,,
23066,2200-12-25,1,0,4,Phoenix Forge 4 Free Spins - Reward,0,0,,0,freespin,2,pragmatic,reward,"slots,videoslots,scratch-cards,other,roulette,blackjack,videopoker,videoslots_jackpotbsg,videoslots_jackpot,videoslots_jackpotsheriff,table",0,0,,,0,0,0,0,,0,"rtp,rtp,rtp,0.1,0.1,0.1,0.1,rtp,rtp,rtp,rtp",0,0,0,pragmatic_vs20phoenixf,bonus,0,pragmatic_vs20phoenixf,0,0,1,0,1,10,0,80,0,103,0,,,,
23067,2200-12-25,1,0,5,Phoenix Forge 5 Free Spins - Reward,0,0,,0,freespin,2,pragmatic,reward,"slots,videoslots,scratch-cards,other,roulette,blackjack,videopoker,videoslots_jackpotbsg,videoslots_jackpot,videoslots_jackpotsheriff,table",0,0,,,0,0,0,0,,0,"rtp,rtp,rtp,0.1,0.1,0.1,0.1,rtp,rtp,rtp,rtp",0,0,0,pragmatic_vs20phoenixf,bonus,0,pragmatic_vs20phoenixf,0,0,1,0,1,10,0,100,0,103,0,,,,
23068,2200-12-25,1,0,6,Phoenix Forge 6 Free Spins - Reward,0,0,,0,freespin,2,pragmatic,reward,"slots,videoslots,scratch-cards,other,roulette,blackjack,videopoker,videoslots_jackpotbsg,videoslots_jackpot,videoslots_jackpotsheriff,table",0,0,,,0,0,0,0,,0,"rtp,rtp,rtp,0.1,0.1,0.1,0.1,rtp,rtp,rtp,rtp",0,0,0,pragmatic_vs20phoenixf,bonus,0,pragmatic_vs20phoenixf,0,0,1,0,1,10,0,120,0,103,0,,,,
23069,2200-12-25,1,0,10,Phoenix Forge 10 Free Spins - Reward,0,0,,0,freespin,2,pragmatic,reward,"slots,videoslots,scratch-cards,other,roulette,blackjack,videopoker,videoslots_jackpotbsg,videoslots_jackpot,videoslots_jackpotsheriff,table",0,0,,,0,0,0,0,,0,"rtp,rtp,rtp,0.1,0.1,0.1,0.1,rtp,rtp,rtp,rtp",0,0,0,pragmatic_vs20phoenixf,bonus,0,pragmatic_vs20phoenixf,0,0,1,0,1,10,0,200,0,103,0,,,,
23070,2200-12-25,1,0,15,Phoenix Forge 15 Free Spins - Reward,0,0,,0,freespin,2,pragmatic,reward,"slots,videoslots,scratch-cards,other,roulette,blackjack,videopoker,videoslots_jackpotbsg,videoslots_jackpot,videoslots_jackpotsheriff,table",0,0,,,0,0,0,0,,0,"rtp,rtp,rtp,0.1,0.1,0.1,0.1,rtp,rtp,rtp,rtp",0,0,0,pragmatic_vs20phoenixf,bonus,0,pragmatic_vs20phoenixf,0,0,1,0,1,10,0,300,0,103,0,,,,
23071,2200-12-25,1,0,20,Phoenix Forge 20 Free Spins - Reward,0,0,,0,freespin,2,pragmatic,reward,"slots,videoslots,scratch-cards,other,roulette,blackjack,videopoker,videoslots_jackpotbsg,videoslots_jackpot,videoslots_jackpotsheriff,table",0,0,,,0,0,0,0,,0,"rtp,rtp,rtp,0.1,0.1,0.1,0.1,rtp,rtp,rtp,rtp",0,0,0,pragmatic_vs20phoenixf,bonus,0,pragmatic_vs20phoenixf,0,0,1,0,1,10,0,400,0,103,0,,,,
