id,game_name,operator,network
913628193,Rabbit Royale,ELK,nyx
913628439,Ashoka,ELK,nyx
913628440,Ashoka,ELK,nyx
913628593,Dead Mans Gold,ELK,nyx
913628594,Dead Mans Gold,ELK,nyx
913629010,Toro Shogun,ELK,nyx
913629011,Toro Shogun,ELK,nyx
913629446,Cygnus 3,ELK,nyx
913629447,Cygnus 3,ELK,nyx
913629947,Coba Reborn,ELK,nyx
913629948,Coba Reborn,ELK,nyx
913630448,Hula Balua,ELK,nyx
913630449,Hula Balua,ELK,nyx
913630675,Valhalla Gold,ELK,nyx
913630832,J POP,ELK,nyx
913630833,J POP,ELK,nyx
913631210,Jeff and Scully,ELK,nyx
913631211,Jeff and Scully,ELK,nyx
913631303,Pirots 2,ELK,nyx
913631304,Pirots 2,ELK,nyx
913631683,Gladiatoro,ELK,nyx
913631684,Gladiatoro,ELK,nyx
913631845,Dam Beavers,ELK,nyx
913631846,Dam Beavers,ELK,nyx
913632079,Oxygen,ELK,nyx
913632080,Oxygen,ELK,nyx
913632227,Cygnus 4,ELK,nyx
913632228,Cygnus 4,ELK,nyx
913632666,Gritty Kitty of Nitropolis,ELK,nyx
913632667,Gritty Kitty of Nitropolis,ELK,nyx
913632849,Buggin,ELK,nyx
913632850,Buggin,ELK,nyx
913633069,Rogue Rats of Nitropolis,ELK,nyx
913633071,Rogue Rats of Nitropolis,ELK,nyx
913633440,Frogblox,ELK,nyx
913633441,Frogblox,ELK,nyx
913633564,Dirty Dawgs of Nitropolis,ELK,nyx
913633565,Dirty Dawgs of Nitropolis,ELK,nyx
913633978,Tropicool 3,ELK,nyx
913633979,Tropicool 3,ELK,nyx
913634093,Pug Thugs of Nitropolis,ELK,nyx
913634094,Pug Thugs of Nitropolis,ELK,nyx
913634334,Ashoka Eternal,ELK,nyx
913634335,Ashoka Eternal,ELK,nyx
913634751,Pirots 3,ELK,nyx
913634752,Pirots 3,ELK,nyx
913634872,Man vs Gator,ELK,nyx
913634873,Man vs Gator,ELK,nyx
913635147,Nitropolis 5,ELK,nyx
