id,game_name,operator,network
39401230,Toro Shogun,ELK,nyx
39401762,Cygnus 3,ELK,nyx
39401763,Cygnus 3,ELK,nyx
39402170,Coba Reborn,ELK,nyx
39402171,Coba Reborn,ELK,nyx
39402702,Hula Balua,ELK,nyx
39402703,Hula Balua,ELK,nyx
39402939,Valhalla Gold,ELK,nyx
39402940,Valhalla Gold,ELK,nyx
39403100,J POP,ELK,nyx
39403101,J POP,ELK,nyx
39403433,Jeff and Scully,ELK,nyx
39403434,Jeff and Scully,ELK,nyx
39403545,Pirots 2,ELK,nyx
39403546,Pirots 2,ELK,nyx
39403772,Gladiatoro,ELK,nyx
39403773,Gladiatoro,ELK,nyx
39403946,Dam Beavers,ELK,nyx
39403947,Dam Beavers,ELK,nyx
39404180,Oxygen,ELK,nyx
39404181,Oxygen,ELK,nyx
39404330,Cygnus 4,ELK,nyx
39404331,Cygnus 4,ELK,nyx
39404818,Gritty Kitty of Nitropolis,ELK,nyx
39404819,Gritty Kitty of Nitropolis,ELK,nyx
39405023,Buggin,ELK,nyx
39405024,Buggin,ELK,nyx
39405229,Rogue Rats of Nitropolis,ELK,nyx
39405230,Rogue Rats of Nitropolis,ELK,nyx
39405654,Frogblox,ELK,nyx
39405655,Frogblox,ELK,nyx
39405785,Dirty Dawgs of Nitropolis,ELK,nyx
39405786,Dirty Dawgs of Nitropolis,ELK,nyx
39406325,Tropicool 3,ELK,nyx
39406326,Tropicool 3,ELK,nyx
39406443,Pug Thugs of Nitropolis,ELK,nyx
39406444,Pug Thugs of Nitropolis,ELK,nyx
39406679,Ashoka Eternal,ELK,nyx
39406680,Ashoka Eternal,ELK,nyx
39407204,Pirots 3,ELK,nyx
39407205,Pirots 3,ELK,nyx
39407329,Man vs Gator,ELK,nyx
39407330,Man vs Gator,ELK,nyx
39407594,Nitropolis 5,ELK,nyx
39407595,Nitropolis 5,ELK,nyx
39407884,Squeeze,ELK,nyx
39407885,Squeeze,ELK,nyx
39408238,Slurpy,ELK,nyx
39408239,Slurpy,ELK,nyx
39408423,Cluster Kingdom,ELK,nyx
39408424,Cluster Kingdom,ELK,nyx
39408507,Thoro,ELK,nyx
39408508,Thoro,ELK,nyx
39409125,Pirots X,ELK,nyx
39409126,Pirots X,ELK,nyx
39409282, Ryze,ELK,nyx
39409284,Ryze,ELK,nyx
39409498,Catemple,ELK,nyx
39409499,Catemple,ELK,nyx
39409819,Reindeer Royale,ELK,nyx
39409820,Reindeer Royale,ELK,nyx
39410068,Shadow Shifter,ELK,nyx
39410069,Shadow Shifter,ELK,nyx
39410156,Cygnus 5,ELK,nyx
39410157,Cygnus 5,ELK,nyx
39410344,Tinkerbot,ELK,nyx
39410345,Tinkerbot,ELK,nyx
39410497,Tropicool 4,ELK,nyx
39410498,Tropicool 4,ELK,nyx
39410712,Nitropolis TV,ELK,nyx
39410713,Nitropolis TV,ELK,nyx
39410886,Oxygen 2,ELK,nyx
39410887,Oxygen 2,ELK,nyx
39411164,Orbitfall,ELK,nyx
39411165,Orbitfall,ELK,nyx
39411306,In the Zone,ELK,nyx
39411307,In the Zone,ELK,nyx
39411520,Knight Fight,ELK,nyx
39411521,Knight Fight,ELK,nyx
39411644,ZapLab,ELK,nyx
39411645,ZapLab,ELK,nyx
