Script start time: '2025-04-30 12:57:14'
```shell
Starting migration from users_settings to users_privacy_settings...
Found 10 shards. Processing each shard...
Processing shard #0...
Fetching settings that need to be migrated...
Processed 112000 records, Migrated: 29446, Skipped: 82554...
Processed 113000 records, Migrated: 29734, Skipped: 83266...
Processed 114000 records, Migrated: 29958, Skipped: 84042...
Processed 115000 records, Migrated: 30202, Skipped: 84798...
Processed 116000 records, Migrated: 30405, Skipped: 85595...
Processed 117000 records, Migrated: 30650, Skipped: 86350...
Processed 118000 records, Migrated: 30920, Skipped: 87080...
Processed 119000 records, Migrated: 31147, Skipped: 87853...
Processed 120000 records, Migrated: 31386, Skipped: 88614...
Processed 121000 records, Migrated: 31574, Skipped: 89426...
Processed 122000 records, Migrated: 31827, Skipped: 90173...
Processed 123000 records, Migrated: 32032, Skipped: 90968...
Processed 124000 records, Migrated: 32211, Skipped: 91789...
Processed 125000 records, Migrated: 32446, Skipped: 92554...
Processed 126000 records, Migrated: 32670, Skipped: 93330...
Processed 127000 records, Migrated: 32905, Skipped: 94095...
Processed 128000 records, Migrated: 33086, Skipped: 94914...
Processed 129000 records, Migrated: 33322, Skipped: 95678...
Processed 130000 records, Migrated: 33552, Skipped: 96448...
Processed 131000 records, Migrated: 33785, Skipped: 97215...
Processed 132000 records, Migrated: 33972, Skipped: 98028...
Processed 133000 records, Migrated: 34188, Skipped: 98812...
Processed 134000 records, Migrated: 34426, Skipped: 99574...
Processed 135000 records, Migrated: 34619, Skipped: 100381...
Processed 136000 records, Migrated: 34831, Skipped: 101169...
Processed 137000 records, Migrated: 35049, Skipped: 101951...
Processed 138000 records, Migrated: 35238, Skipped: 102762...
Processed 139000 records, Migrated: 35506, Skipped: 103494...
Processed 140000 records, Migrated: 35709, Skipped: 104291...
Processed 141000 records, Migrated: 35901, Skipped: 105099...
Processed 142000 records, Migrated: 36151, Skipped: 105849...
Processed 143000 records, Migrated: 36394, Skipped: 106606...
Processed 144000 records, Migrated: 36601, Skipped: 107399...
Processed 145000 records, Migrated: 36832, Skipped: 108168...
Processed 146000 records, Migrated: 37003, Skipped: 108997...
Processed 147000 records, Migrated: 37259, Skipped: 109741...
Processed 148000 records, Migrated: 37479, Skipped: 110521...
Processed 149000 records, Migrated: 37724, Skipped: 111276...
Processed 150000 records, Migrated: 37936, Skipped: 112064...
Processed 151000 records, Migrated: 38164, Skipped: 112836...
Processed 152000 records, Migrated: 38407, Skipped: 113593...
