user_id,withdrawal_id,ext_id,new_status,refund
5697754,11929325,PBKZBPGW2T98J,disapproved,yes
5230581,12177912,171482638,approved,no
5230581,12179572,171518753,approved,no
1966955985,12055146,511550187080,approved,no
5270346,12057017,6056689779,approved,no
