user_id,amount,reference_id,supplier,sub_supplier,mts_id
865665,10000,2537949892,paymentiq,Interac,171681003
786698,500000,2A500820PT275511W,paypal,,172567333
609870,2000,62065472WM7451037,paypal,,172446282
428855,5000,510454409987,credorax,,172931754
